,Year,Month,Extent_avg
0,1978,10,10.402666666666667
1,1978,11,11.645133333333332
2,1978,12,13.667062500000002
3,1979,01,15.414
4,1979,02,16.175285714285714
5,1979,03,16.3419375
6,1979,04,15.446799999999998
7,1979,05,13.856866666666665
8,1979,06,12.53
9,1979,07,10.311250000000001
10,1979,08,8.04106666666667
11,1979,09,7.051133333333332
12,1979,10,8.7479375
13,1979,11,10.943066666666665
14,1979,12,13.336266666666667
15,1980,01,14.861874999999998
16,1980,02,15.955142857142857
17,1980,03,16.041312499999997
18,1980,04,15.429066666666667
19,1980,05,13.792599999999998
20,1980,06,12.204600000000003
21,1980,07,10.100062499999998
22,1980,08,7.984266666666666
23,1980,09,7.667066666666666
24,1980,10,9.18275
25,1980,11,11.382866666666668
26,1980,12,13.592933333333331
27,1981,01,14.9096875
28,1981,02,15.604071428571428
29,1981,03,15.631533333333332
30,1981,04,15.009933333333331
31,1981,05,13.801625000000003
32,1981,06,12.429733333333335
33,1981,07,10.270999999999997
34,1981,08,7.844312500000002
35,1981,09,7.138466666666667
36,1981,10,8.856266666666667
37,1981,11,10.929
38,1981,12,13.341125000000002
39,1982,01,15.17673333333333
40,1982,02,15.973499999999998
41,1982,03,16.043875
42,1982,04,15.466000000000001
43,1982,05,13.973199999999999
44,1982,06,12.476066666666668
45,1982,07,10.367062500000001
46,1982,08,8.139533333333334
47,1982,09,7.301733333333333
48,1982,10,9.4210625
49,1982,11,11.627466666666667
50,1982,12,13.641799999999996
51,1983,01,14.9424375
52,1983,02,16.00614285714286
53,1983,03,16.085266666666662
54,1983,04,15.172066666666664
55,1983,05,13.4913125
56,1983,06,12.295666666666667
57,1983,07,10.570266666666667
58,1983,08,8.185875
59,1983,09,7.3946000000000005
60,1983,10,9.334066666666667
61,1983,11,11.461
62,1983,12,13.298437499999999
63,1984,01,14.473266666666667
64,1984,02,15.298933333333332
65,1984,03,15.5842
66,1984,04,15.014466666666667
67,1984,05,13.576687499999998
68,1984,06,12.151666666666667
69,1984,07,9.977533333333334
70,1984,08,7.771062500000001
71,1984,09,6.8052
72,1984,10,8.560599999999999
73,1984,11,10.841533333333333
74,1984,12,12.9894375
75,1985,01,14.724866666666665
76,1985,02,15.465714285714288
77,1985,03,15.885937500000002
78,1985,04,15.356533333333335
79,1985,05,14.0734
80,1985,06,12.219066666666665
81,1985,07,9.7445625
82,1985,08,7.401866666666667
83,1985,09,6.697666666666666
84,1985,10,8.5459375
85,1985,11,11.024533333333334
86,1985,12,13.049933333333334
87,1986,01,14.889624999999999
88,1986,02,15.784857142857147
89,1986,03,15.909466666666667
90,1986,04,15.058800000000002
91,1986,05,13.3795625
92,1986,06,11.975933333333334
93,1986,07,10.146466666666667
94,1986,08,7.979562500000001
95,1986,09,7.410666666666667
96,1986,10,9.483933333333333
97,1986,11,11.453266666666666
98,1986,12,13.222437499999998
99,1987,01,14.969800000000001
100,1987,02,16.050142857142863
101,1987,03,15.815937499999999
102,1987,04,15.210866666666666
103,1987,05,13.742933333333335
104,1987,06,12.485666666666667
105,1987,07,10.332562500000002
106,1987,08,7.4999047619047605
107,1987,09,7.278699999999998
108,1987,10,9.048774193548386
109,1987,11,11.224033333333335
110,1987,12,12.5405
111,1988,01,15.090473684210526
112,1988,02,15.583379310344828
113,1988,03,15.95722580645161
114,1988,04,15.123333333333333
115,1988,05,13.560870967741932
116,1988,06,11.943433333333331
117,1988,07,9.80867741935484
118,1988,08,7.891580645161291
119,1988,09,7.369
120,1988,10,9.135032258064518
121,1988,11,11.330833333333333
122,1988,12,13.625548387096776
123,1989,01,14.9548064516129
124,1989,02,15.495535714285712
125,1989,03,15.423290322580646
126,1989,04,14.328399999999998
127,1989,05,13.044129032258065
128,1989,06,12.244533333333331
129,1989,07,10.129709677419354
130,1989,08,7.881774193548386
131,1989,09,7.0083333333333355
132,1989,10,8.828903225806453
133,1989,11,11.115233333333334
134,1989,12,13.386806451612902
135,1990,01,14.782612903225811
136,1990,02,15.578214285714282
137,1990,03,15.866741935483867
138,1990,04,14.650066666666667
139,1990,05,13.225838709677417
140,1990,06,11.640566666666663
141,1990,07,9.246612903225806
142,1990,08,6.797483870967743
143,1990,09,6.142799999999999
144,1990,10,8.484935483870967
145,1990,11,11.075199999999999
146,1990,12,13.105548387096777
147,1991,01,14.363806451612904
148,1991,02,15.24939285714286
149,1991,03,15.416129032258066
150,1991,04,14.859733333333335
151,1991,05,13.473129032258065
152,1991,06,12.108033333333337
153,1991,07,9.514032258064514
154,1991,08,7.415354838709678
155,1991,09,6.472899999999999
156,1991,10,8.541419354838709
157,1991,11,10.884600000000002
158,1991,12,12.945096774193548
159,1992,01,14.642677419354841
160,1992,02,15.46210344827586
161,1992,03,15.481129032258067
162,1992,04,14.6769
163,1992,05,13.215548387096776
164,1992,06,12.14676666666667
165,1992,07,10.323129032258066
166,1992,08,7.92525806451613
167,1992,09,7.4737
168,1992,10,9.319516129032259
169,1992,11,11.378666666666668
170,1992,12,13.407387096774196
171,1993,01,14.896064516129034
172,1993,02,15.685642857142856
173,1993,03,15.813161290322583
174,1993,04,15.0772
175,1993,05,13.36822580645161
176,1993,06,11.8709
177,1993,07,9.476354838709677
178,1993,08,7.335
179,1993,09,6.396666666666666
180,1993,10,8.786129032258065
181,1993,11,11.318733333333332
182,1993,12,13.318967741935486
183,1994,01,14.729774193548383
184,1994,02,15.561892857142857
185,1994,03,15.55361290322581
186,1994,04,14.888033333333333
187,1994,05,13.624387096774194
188,1994,06,12.016399999999999
189,1994,07,9.925161290322581
